REGIONE,COMUNE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA
LAZIO,RIPI,FROSINONE,FRIC81100G,I.C. RIPI,FRIC81100G,I.C. RIPI,PIAZZA G. BACCELLI 4,03027,ISTITUTO COMPRENSIVO
LAZIO,ROMA,ROMA,RMPS10000A,FRANCESCO D'ASSISI,RMPS10000A,FRANCESCO D'ASSISI,VIALE DELLA PRIMAVERA 207,00172,LICEO SCIENTIFICO
LAZIO,LATINA,LATINA,LTIC847002,I.C. CENA,LTEE847025,VIA LEGNANO,VIA LEGNANO,04100,SCUOLA PRIMARIA
LAZIO,SONNINO,LATINA,LTIC80100L,L. DA VINCI E ROCCASECCA VOLSCI,LTAA80102E,SONNINO ( CAPOLUOGO ),VIA BORGO CIMERONE CAPOLUOGO,04010,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8EX00Q,IC OLCESE,RMAA8EX03P,VIA TOVAGLIERI,VIA TOVAGLIERI 201,00155,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC83700E,"""RAFFAELLO""",RMIC83700E,"""RAFFAELLO""",VIA GIUSEPPE CAPOGRASSI 23,00173,ISTITUTO COMPRENSIVO
LAZIO,CISTERNA DI LATINA,LATINA,LTIC838007,I.C. DANTE MONDA- ALFONSO VOLPI,LTAA838025,VIA MONTI LEPINI,VIA MONTI LEPINI,04012,SCUOLA INFANZIA
LAZIO,FONTE NUOVA,ROMA,RMPC150008,LICEO GINNASIO STATALE ORAZIO,RMPC15002A,ORAZIO,VIA DEL LAGO DI BRACCIANO,Non Disponibile,LICEO CLASSICO
LAZIO,ROMA,ROMA,RMIC8EL00C,IC VIA TEDESCHI,RMEE8EL02G,MARTIRI DELLA LIBERTA',VIA BERTARELLI 140,00159,SCUOLA PRIMARIA
LAZIO,CERVETERI,ROMA,RMIC891007,MARINA DI CERVETERI,RMAA891047,-QUARTACCIO-,VIA DI CERI60,00050,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8GT00N,I.C. VIA TRIONFALE,RMEE8GT02R,VIA TRIONFALE,VIA TRIONFALE 7333,00135,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8F400V,"I.C. ""GOFFREDO PETRASSI""",RMMM8F401X,GOFFREDO PETRASSI,VIA DELLA MARATONA 23,00194,SCUOLA PRIMO GRADO
LAZIO,FERENTINO,FROSINONE,FRIC83900B,I.C. 1^ FERENTINO,FRAA83903A,FERENTINO CAMERACANNE,VIA CARTIERA QUARTO,03013,SCUOLA INFANZIA
LAZIO,APRILIA,LATINA,LTIC82100T,"IC ""ANTONIO GRAMSCI""",LTAA82102Q,ARCOBALENO,VIA DEI MILLE,04011,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8FC003,IC VIA MEROPE,RMAA8FC043,VIA CALIMERA S.N.C.,VIA CALIMERA S.N.C.,00133,SCUOLA INFANZIA
LAZIO,SERRONE,FROSINONE,FRIC80700X,"I.C. ""O. BOTTINI"" PIGLIO",FRMM807033,S.M. SERRONE,VIA MONTE SCALAMBRA SNC,03010,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC8CC007,"IC ""ARTEMISIA GENTILESCHI""",RMEE8CC03B,RENZO PEZZANI,PIAZZA DEI MIRTI 31,00172,SCUOLA PRIMARIA
LAZIO,SABAUDIA,LATINA,LTTF05000D,"LICEO-IST.TECNICO I.O.""G.CESARE""SABAUDIA",LTTF05050V,ITT RITA LEVI MONTALCINI - SERALE,Non Disponibile,Non Disponibile,ISTITUTO TECNICO INDUSTRIALE
LAZIO,SORA,FROSINONE,FRIC849002,I.C. 1^ SORA,FRMM849013,IC SORA 1' - ROSATI SORA,VIALE VINCENZO SIMONCELLI,03039,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC8BP00C,OVIDIO,RMAA8BP019,C. NOBILI - VIA BITOSSI,VIA G. BITOSSI 5,00136,SCUOLA INFANZIA
LAZIO,MARINO,ROMA,RMIC8A400T,IC S.MARIA DELLE MOLE,RMMM8A401V,"SC. SEC. I GRADO ""A. VIVALDI""",VIA G. PRATI 9,00047,SCUOLA PRIMO GRADO
LAZIO,GAETA,LATINA,LTIS02300N,FERMI,LTTD02301X,ITC,VIA CALEGNA,04024,ISTITUTO TECNICO COMMERCIALE
LAZIO,ROMA,ROMA,RMIC8FW00E,NELSON MANDELA,RMAA8FW01B,ILDEBRANDO PIZZETTI,VIA DEI BRUSATI 55,00163,SCUOLA INFANZIA
LAZIO,GALLICANO NEL LAZIO,ROMA,RMIC8AB006,GALLICANO NEL LAZIO VIA TRE NOV,RMMM8AB017,VIA TRE NOVEMBRE GALLICANO LAZ,VIA TRE NOVEMBRE 11,00010,SCUOLA PRIMO GRADO
LAZIO,LATINA,LATINA,LTIC81500E,I.C NATALE PRAMPOLINI,LTEE81501L,BORGO PODGORA,STRADA PODGORA,04010,SCUOLA PRIMARIA
LAZIO,FRASCATI,ROMA,RMIS13100L,"""M.PANTALEONI - M. BUONARROTI""",RMIS13100L,"""M.PANTALEONI - M. BUONARROTI""",VIA B. POSTORINO 27,00044,ISTITUTO SUPERIORE
LAZIO,ROMA,ROMA,RMIC80600V,ISTITUTO COMPRENSIVO VIRGILIO,RMMM80601X,VIRGILIO,VIA GIULIA 25,00186,SCUOLA PRIMO GRADO
LAZIO,GROTTAFERRATA,ROMA,RMIC8BU00G,GROTTAFERRATA-SAN NILO,RMAA8BU02D,G.RODARI,VIALE I MAGGIO,00046,SCUOLA INFANZIA
LAZIO,SALISANO,RIETI,RIIC82500N,IST. COMPRENSIVO BASSA SABINA,RIEE82501Q,"SCUOLA PRIMARIA ""TEGA""",LARGO COSTANTINI 14,02040,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8FR002,FRANCESCO CILEA,RMEE8FR014,SCUOLA PRIMARIA I.C. VIA CILEA,VIA CILEA 269,00124,SCUOLA PRIMARIA
LAZIO,PONTECORVO,FROSINONE,FRIS00900Q,I.I.S. PONTECORVO,FRPS009016,LICEO SCIENTIFICO MICHELANGELO,VIA XXIV MAGGI0 106 - VIA SALVO D'ACQUISTO,03037,LICEO SCIENTIFICO
LAZIO,LADISPOLI,ROMA,RMIC8DX005,IC LADISPOLI I,RMAA8DX034,Non Disponibile,Non Disponibile,00055,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8GT00N,I.C. VIA TRIONFALE,RMMM8GT01P,VIA VALLOMBROSA,VIA VALLOMROSA 31,00135,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC841006,I.C.GIOVANNI PAOLO II,RMAA841024,VIA PETRA,VIA PETRA,00126,SCUOLA INFANZIA
LAZIO,MONTELANICO,ROMA,RMIC8AZ00T,SEGNI,RMAA8AZ063,LEONE XIII,Non Disponibile,00032,SCUOLA INFANZIA
LAZIO,GRAFFIGNANO,VITERBO,VTIC80800L,I.C. PIO FEDI GROTTE S STEFANO,VTMM80804R,SCUOLA SEC. I GRAFFIGNANO,PIAZZA DEL COMUNE 10,01020,SCUOLA PRIMO GRADO
LAZIO,TERRACINA,LATINA,LTIC82900C,I.C. MARIA MONTESSORI,LTIC82900C,I.C. MARIA MONTESSORI,VIA DEI VOLSCI 12,04019,ISTITUTO COMPRENSIVO
LAZIO,MORLUPO,ROMA,RMIC88600Q,"""GIOVANNI FALCONE E PAOLO BORS",RMAA88601L,"""DON PINO PUGLISI""",VIA SAN PELLEGRINO 29,00067,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8GK00T,I.C. LARGO S.PIO V,RMMM8GK01V,BRAMANTE,L.GO S.PIO V 20,00165,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC8FQ006,IC TULLIA ZEVI,RMEE8FQ029,PALOCCO 84,LARGO ARISTOTELE 41,00124,SCUOLA PRIMARIA
LAZIO,SORA,FROSINONE,FRIC850006,"I.C. 2^ ""RICCARDO GULIA"" SORA",FRAA850013,CHIESA NUOVA,VIA CHIESA NUOVA,03039,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8BM00R,MARIA CAPOZZI,RMMM8BM01T,LEOPARDI,VIA ENNIO BONIFAZI 64,00167,SCUOLA PRIMO GRADO
LAZIO,POMEZIA,ROMA,RMIS064003,BLAISE PASCAL,RMIS064003,BLAISE PASCAL,VIA PIETRO NENNI 48,00071,ISTITUTO SUPERIORE
LAZIO,NEMI,ROMA,RMIC8BH00Q,"LANUVIO ""MARIANNA DIONIGI""",RMEE8BH02V,NEMI,VIA SAN MICHELE SNC,00074,SCUOLA PRIMARIA
LAZIO,PALESTRINA,ROMA,RMIC8DR00R,"IC ""GIOVANNI PIERLUIGI""",RMMM8DR01T,""" GIOVANNI PIERLUIGI """,VIA DI VALLE ZAMPEA N. 2,00036,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC80600V,ISTITUTO COMPRENSIVO VIRGILIO,RMEE806011,OSPEDALE BAMBIN GESU',VIA S. ONOFRIO,00165,SCUOLA PRIMARIA
LAZIO,SACROFANO,ROMA,RMIC88100L,"I.C. ""GUIDO PITOCCO""",RMMM88102P,L.GO ILARIA ALPI SACROFANO,L.GO ILARIA ALPI 2,00060,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC8E800G,FRANCESCA MORVILLO,RMIC8E800G,FRANCESCA MORVILLO,VIA S.BIAGIO PLATANI 260,00133,ISTITUTO COMPRENSIVO
LAZIO,LABICO,ROMA,RMIC8CE00V,LEONARDO DA VINCI,RMIC8CE00V,LEONARDO DA VINCI,VIA LEONARDO DA VINCI N. 34A,00030,ISTITUTO COMPRENSIVO
LAZIO,MINTURNO,LATINA,LTIC855001,I.C. MARCO EMILIO SCAURO,LTAA85503X,VIA S. ALBINA,VIA I. BALBO,04028,SCUOLA INFANZIA
